暫編地號,原地號,所屬街廓,重劃前區段,a 面積(㎡),街廓面積(㎡),正面長度(m),平均深度(m),A 地價比,l₂ 正面尺度,l₁ 側面尺度,街角地,第1筆街角,街角側別,F(m),W(m),Rw(%),S(m),幾何面積(㎡),G(㎡),累積S(m),推進側別,解法,迭代次數,是否收斂,負擔比率,宗地寬度(m),畸零地旗標
628(4),628,R3,,71.69,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,1.3,56.66,56.66,1.3,left,幾何二分法,16,✅,0.2097,1.29,⚠️移出/第1調配順位
628-34(2),628-34,R3,,429.35,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,7.75,339.35,339.35,9.05,left,幾何二分法,18,✅,0.2096,7.72,
628-47(1),628-47,R3,,246,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,4.43,194.44,194.45,13.48,left,幾何二分法,14,✅,0.2096,4.41,
628-46(1),628-46,R3,,124.85,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,2.25,98.69,98.69,15.73,left,幾何二分法,18,✅,0.2095,2.24,⚠️移出/第1調配順位
628-48(1),628-48,R3,,246,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,4.43,194.46,194.46,20.16,left,幾何二分法,18,✅,0.2095,4.41,
628-49(2),628-49,R3,,135.61,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,2.44,107.21,107.2,22.6,left,幾何二分法,16,✅,0.2095,2.43,⚠️移出/第1調配順位
628-32(3),628-32,R3,,722.88,4206.8,93.41,43.64,1,2,0,否,否,—,0,0,0,12.97,571.52,571.51,35.57,left,幾何二分法,17,✅,0.2094,12.91,
628-45(2),628-45,R3,,362.38,4206.8,93.41,43.64,1,2,1,是,是,右側,44.9,6.01,50.06,6.04,264.94,264.95,6.04,right,幾何二分法,17,✅,0.2689,6.01,
628-42(2),628-42,R3,,153.46,4206.8,93.41,43.64,1,2,1,否,否,—,44.9,8.58,14.04,2.58,115.37,115.37,8.62,right,幾何二分法,16,✅,0.2482,2.57,⚠️移出/第1調配順位
628-27(2),628-27,R3,,46.68,4206.8,93.41,43.64,1,2,1,否,否,—,44.9,9.36,3.93,0.79,35.24,35.24,9.41,right,幾何二分法,15,✅,0.2451,0.79,⚠️移出/第1調配順位
628-28(1),628-28,R3,,114,4206.8,93.41,43.64,1,2,1,否,否,—,44.9,11.28,8.89,1.93,86.36,86.37,11.34,right,幾何二分法,17,✅,0.2424,1.92,⚠️移出/第1調配順位
628-29(1),628-29,R3,,114,4206.8,93.41,43.64,1,2,1,否,否,—,44.9,13.21,7.91,1.94,86.79,86.79,13.28,right,幾何二分法,14,✅,0.2387,1.93,⚠️移出/第1調配順位
628-30(3),628-30,R3,,783.29,4206.8,93.41,43.64,1,2,1,否,否,—,44.9,26.89,15.2,13.74,613.06,613.06,27.02,right,幾何二分法,15,✅,0.2173,13.68,
