測項,違規列序,違規全文
無串聯0m,60,"[無串聯0m] ('R3', '右', '628-42(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
無串聯0m,61,"[無串聯0m] ('R3', '右', '628-42(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
無串聯0m,62,"[無串聯0m] ('R3', '右', '628-42(2)') 欄「項三比(≤1)」: baseline='0.6695' got=0.5698"
無串聯0m,63,"[無串聯0m] ('R3', '右', '628-42(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
無串聯0m,64,"[無串聯0m] ('R3', '右', '628-27(2)') 欄「真交集(㎡)」: baseline='11.96' got=20.32"
無串聯0m,65,"[無串聯0m] ('R3', '右', '628-27(2)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
無串聯0m,66,"[無串聯0m] ('R3', '右', '628-27(2)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
無串聯0m,67,"[無串聯0m] ('R3', '右', '628-27(2)') 欄「項三比(≤1)」: baseline='0.0783' got=0.0896"
無串聯0m,68,"[無串聯0m] ('R3', '右', '628-27(2)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
無串聯0m,69,"[無串聯0m] ('R3', '右', '628-28(1)') 欄「真交集(㎡)」: baseline='2.29' got=13.83"
無串聯0m,70,"[無串聯0m] ('R3', '右', '628-28(1)') 欄「範圍面積(㎡)」: baseline='152.82' got=226.91"
無串聯0m,71,"[無串聯0m] ('R3', '右', '628-28(1)') 欄「門檻(㎡)」: baseline='152.82' got=226.91"
無串聯0m,72,"[無串聯0m] ('R3', '右', '628-28(1)') 欄「項三比(≤1)」: baseline='0.015' got=0.0609"
無串聯0m,73,"[無串聯0m] ('R3', '右', '628-28(1)') 欄「截角邊(range)」: baseline='2.682' got=4.854"
無串聯0m,74,"[無串聯0m] ('R1', '左', '628-37(1)') 欄「真交集(㎡)」: baseline='32.55' got=34.2"
無串聯0m,75,"[無串聯0m] ('R1', '左', '628-37(1)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
無串聯0m,76,"[無串聯0m] ('R1', '左', '628-37(1)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
無串聯0m,77,"[無串聯0m] ('R1', '左', '628-37(1)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
無串聯0m,78,"[無串聯0m] ('R1', '左', '628-37(1)') 欄「臨截角」: baseline='4.569' got=4.773"
無串聯0m,79,"[無串聯0m] ('R1', '左', '628-36(1)') 欄「真交集(㎡)」: baseline='43.57' got=45.44"
無串聯0m,80,"[無串聯0m] ('R1', '左', '628-36(1)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
無串聯0m,81,"[無串聯0m] ('R1', '左', '628-36(1)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
無串聯0m,82,"[無串聯0m] ('R1', '左', '628-36(1)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
無串聯0m,83,"[無串聯0m] ('R1', '左', '628-35(2)') 欄「真交集(㎡)」: baseline='33.67' got=35.12"
無串聯0m,84,"[無串聯0m] ('R1', '左', '628-35(2)') 欄「範圍面積(㎡)」: baseline='109.79' got=114.76"
無串聯0m,85,"[無串聯0m] ('R1', '左', '628-35(2)') 欄「門檻(㎡)」: baseline='109.79' got=114.76"
無串聯0m,86,"[無串聯0m] ('R1', '左', '628-35(2)') 欄「截角邊(range)」: baseline='4.569' got=4.773"
無串聯0m,87,"[無串聯0m] ('R1', '右', '628(5)') 欄「真交集(㎡)」: baseline='110.56' got=116.83"
無串聯0m,88,"[無串聯0m] ('R1', '右', '628(5)') 欄「範圍面積(㎡)」: baseline='110.56' got=116.84"
無串聯0m,89,"[無串聯0m] ('R1', '右', '628(5)') 欄「門檻(㎡)」: baseline='110.56' got=116.84"
無串聯0m,90,"[無串聯0m] ('R1', '右', '628(5)') 欄「截角邊(range)」: baseline='4.927' got=5.033"
無串聯0m,91,"[無串聯0m] ('R1', '右', '628(5)') 欄「正街角分(0.4)」: baseline='0.4' got=0.392"
無串聯0m,92,"[無串聯0m] ('R1', '右', '628(5)') 欄「總分」: baseline='1.0' got=0.9919"
指配0m,0,"[指配0m] ('R4',) 欄「【左】最小面積(㎡)」: baseline='109.2' got='135.15'"
指配0m,1,"[指配0m] ('R4',) 欄「【右】最小面積(㎡)」: baseline='109.7' got='137.03'"
指配0m,2,"[指配0m] ('R6',) 欄「【右】最小面積(㎡)」: baseline='146.38' got='145.88'"
指配0m,3,"[指配0m] ('R5',) 欄「【左】最小面積(㎡)」: baseline='146.93' got='225.24'"
指配0m,4,"[指配0m] ('R5',) 欄「【左】第1宗指配」: baseline='G005（628-18）[628-18(2)]' got='G022（628-7）[628-7(2)]'"
指配0m,5,"[指配0m] ('R5',) 欄「【左】優先權指數」: baseline='0.5247' got=0.0028"
